Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#3254 027,14-Oct-20,Wednesday,6,Visa,PIN,£8,ATM,Subscription,India,India,United Kingdom,F,43.0,Barclays,1
#2728 200,13-Oct-20,Tuesday,21,MasterCard,PIN,£112,POS,Gaming,India,India,India,F,61.8,Barlcays,0
#2812 478,13-Oct-20,Tuesday,19,Visa,CVC,£128,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,32.9,Monzo,0
#3355 949,13-Oct-20,Tuesday,17,Visa,PIN,£112,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,60.6,Barclays,0
#3537 047,14-Oct-20,Wednesday,10,MasterCard,Tap,£21,POS,Products,United Kingdom,United Kingdom,United Kingdom,M,41.8,Barclays,0
#3560 451,13-Oct-20,Tuesday,13,Visa,Tap,£11,POS,Services,USA,USA,United Kingdom,M,25.7,Barclays,1
#2610 082,14-Oct-20,Wednesday,4,Visa,CVC,£22,Online,Electronics,China,China,United Kingdom,F,47.5,RBS,1
#3316 359,13-Oct-20,Tuesday,15,Visa,Tap,£28,POS,Services,United Kingdom,United Kingdom,United Kingdom,M,42.2,Metro,0
#2650 057,13-Oct-20,Tuesday,19,MasterCard,PIN,£8,ATM,Restaurant,United Kingdom,Russia,United Kingdom,F,44.7,Halifax,0
#2662 504,13-Oct-20,Tuesday,5,Visa,CVC,£20,Online,Gaming,China,China,United Kingdom,M,54.3,Barclays,1
#2591 549,14-Oct-20,Wednesday,12,MasterCard,Tap,£26,POS,Children,Russia,Russia,United Kingdom,F,37.6,RBS,1
#2578 416,14-Oct-20,Wednesday,7,MasterCard,PIN,£17,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,F,57.3,Barclays,0
#2961 826,14-Oct-20,Wednesday,6,MasterCard,CVC,£17,Online,Electronics,India,India,United Kingdom,F,52.6,Metro,1
#2642 453,13-Oct-20,Tuesday,19,MasterCard,Tap,£30,POS,Fashion,USA,USA,USA,M,36.2,Barclays,0
#2600 302,13-Oct-20,Tuesday,23,Visa,PIN,£19,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,44.3,Barclays,0
#3036 671,13-Oct-20,Tuesday,13,MasterCard,Tap,£20,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,43.0,Lloyds,0
#2684 760,14-Oct-20,Wednesday,14,MasterCard,PIN,£251,POS,Food,China,China,China,M,43.4,Barclays,0
#3392 765,13-Oct-20,Tuesday,15,Visa,CVC,£7,Online,Gaming,United Kingdom,United Kingdom,United Kingdom,F,29.3,Monzo,0
#2730 689,14-Oct-20,Wednesday,17,MasterCard,PIN,£265,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,M,36.5,Monzo,0
#2984 576,13-Oct-20,Tuesday,13,Visa,PIN,£20,ATM,Entertainment,Russia,Russia,United Kingdom,M,71.4,Monzo,0
#3534 289,13-Oct-20,Tuesday,6,MasterCard,CVC,£269,Online,Children,USA,USA,United Kingdom,M,55.9,Barlcays,1
#2956 763,14-Oct-20,Wednesday,9,MasterCard,PIN,£11,ATM,Entertainment,China,China,United Kingdom,F,37.2,Lloyds,1
#3604 587,14-Oct-20,Wednesday,2,Visa,Tap,£24,POS,Products,United Kingdom,China,United Kingdom,M,33.5,Barclays,1
#2982 898,13-Oct-20,Tuesday,17,MasterCard,PIN,£28,ATM,Electronics,USA,USA,United Kingdom,F,33.9,Barclays,1
#2881 547,13-Oct-20,Tuesday,7,Visa,PIN,£13,ATM,Children,Russia,Russia,United Kingdom,M,41.3,Metro,1
#2593 655,14-Oct-20,Wednesday,11,Visa,CVC,£17,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,36.0,Monzo,0
#3165 095,13-Oct-20,Tuesday,7,Visa,CVC,£8,Online,Food,China,China,United Kingdom,M,41.4,Barclays,1
#3625 837,13-Oct-20,Tuesday,13,Visa,Tap,£14,POS,Food,United Kingdom,USA,United Kingdom,M,50.3,Barclays,1
#2868 159,14-Oct-20,Wednesday,7,MasterCard,PIN,£19,ATM,Fashion,United Kingdom,USA,United Kingdom,M,44.6,Halifax,1
#2702 359,14-Oct-20,Wednesday,6,Visa,PIN,£6,ATM,Entertainment,Russia,Russia,United Kingdom,M,41.8,Metro,1
#3285 952,14-Oct-20,Wednesday,21,MasterCard,Tap,£29,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,46.8,Monzo,0
#3592 183,13-Oct-20,Tuesday,19,MasterCard,PIN,£28,ATM,Restaurant,Russia,Russia,United Kingdom,M,42.0,Metro,1
#3537 120,14-Oct-20,Wednesday,4,MasterCard,CVC,£130,Online,Electronics,Russia,Russia,United Kingdom,M,71.8,RBS,1
#2634 784,13-Oct-20,Tuesday,22,Visa,PIN,£365,ATM,Products,United Kingdom,United Kingdom,United Kingdom,F,55.7,Lloyds,0
#3016 594,13-Oct-20,Tuesday,17,MasterCard,CVC,£10,Online,Electronics,United Kingdom,United Kingdom,United Kingdom,M,55.9,Halifax,0
#3360 254,13-Oct-20,Tuesday,13,Visa,PIN,£210,ATM,Subscription,United Kingdom,USA,United Kingdom,F,37.3,HSBC,0
#2663 239,14-Oct-20,Wednesday,16,Visa,CVC,£18,Online,Children,USA,USA,United Kingdom,M,35.1,Barclays,1
#2726 974,13-Oct-20,Tuesday,9,MasterCard,Tap,£15,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,30.9,Monzo,0
#2728 062,13-Oct-20,Tuesday,11,Visa,CVC,£190,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,38.8,RBS,0
#2989 666,14-Oct-20,Wednesday,1,Visa,CVC,£11,Online,Services,Russia,Russia,United Kingdom,F,48.0,Barclays,1
#3259 096,14-Oct-20,Wednesday,15,MasterCard,CVC,£183,Online,Electronics,Russia,Russia,Russia,M,35.8,HSBC,0
#3147 703,13-Oct-20,Tuesday,6,Visa,Tap,£11,POS,Services,Russia,Russia,United Kingdom,M,52.3,Lloyds,1
#2635 380,13-Oct-20,Tuesday,9,Visa,CVC,£86,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,55.4,Barclays,0
#2936 161,13-Oct-20,Tuesday,1,Visa,PIN,£10,ATM,Food,United Kingdom,China,United Kingdom,M,31.4,Barclays,1
#3047 270,13-Oct-20,Tuesday,9,MasterCard,PIN,£115,POS,Children,Russia,Russia,United Kingdom,F,37.9,HSBC,1
#2687 686,14-Oct-20,Wednesday,9,MasterCard,Tap,£6,POS,Gaming,United Kingdom,Russia,United Kingdom,F,68.0,Barlcays,0
#2592 299,13-Oct-20,Tuesday,22,Visa,CVC,£25,Online,Gaming,United Kingdom,India,United Kingdom,M,46.8,Halifax,1
#2783 988,14-Oct-20,Wednesday,14,Visa,PIN,£6,ATM,Subscription,India,India,United Kingdom,M,49.3,Metro,1
#3577 514,14-Oct-20,Wednesday,21,Visa,Tap,£26,POS,Children,United Kingdom,United Kingdom,United Kingdom,F,30.4,Barclays,0
#3597 544,13-Oct-20,Tuesday,11,MasterCard,Tap,£17,POS,Services,Russia,Russia,Russia,F,38.6,Barclays,0
#2729 331,14-Oct-20,Wednesday,4,Visa,Tap,£23,POS,Children,China,China,United Kingdom,F,45.2,RBS,1
#2589 603,13-Oct-20,Tuesday,13,MasterCard,Tap,£19,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,F,44.8,Barlcays,0
#2599 688,13-Oct-20,Tuesday,16,Visa,PIN,£28,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,36.4,Halifax,0
#3109 140,13-Oct-20,Tuesday,20,Visa,PIN,£110,POS,Gaming,United Kingdom,United Kingdom,United Kingdom,M,51.2,Lloyds,0
#3110 820,14-Oct-20,Wednesday,0,Visa,CVC,£29,Online,Children,United Kingdom,China,United Kingdom,F,44.6,HSBC,1
#3309 916,13-Oct-20,Tuesday,3,MasterCard,CVC,£6,Online,Children,United Kingdom,India,United Kingdom,M,45.1,Monzo,1
#3672 068,14-Oct-20,Wednesday,2,MasterCard,Tap,£12,POS,Fashion,Russia,Russia,United Kingdom,M,59.9,Barlcays,1
#2605 211,14-Oct-20,Wednesday,11,MasterCard,PIN,£33,POS,Gaming,United Kingdom,China,United Kingdom,F,41.0,Metro,0
#3155 706,13-Oct-20,Tuesday,11,Visa,PIN,£388,POS,Restaurant,USA,USA,United Kingdom,M,36.6,HSBC,1
#2827 962,13-Oct-20,Tuesday,20,Visa,PIN,£17,ATM,Services,India,India,United Kingdom,F,30.4,Metro,1
#3329 607,13-Oct-20,Tuesday,16,MasterCard,PIN,£137,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,38.2,Barclays,0
#3398 556,13-Oct-20,Tuesday,2,MasterCard,CVC,£19,Online,Products,China,China,United Kingdom,F,41.0,Lloyds,1
#3337 655,13-Oct-20,Tuesday,17,Visa,CVC,£185,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,16.9,Metro,0
#3102 670,14-Oct-20,Wednesday,16,Visa,Tap,£15,POS,Products,India,India,United Kingdom,F,48.2,Barclays,1
#2747 170,14-Oct-20,Wednesday,10,MasterCard,CVC,£5,Online,Products,United Kingdom,United Kingdom,United Kingdom,F,51.8,Barclays,0
#3579 047,14-Oct-20,Wednesday,13,MasterCard,PIN,£23,ATM,Services,United Kingdom,United Kingdom,United Kingdom,F,53.3,Monzo,0
#2951 297,14-Oct-20,Wednesday,16,Visa,Tap,£8,POS,Electronics,China,China,United Kingdom,M,44.8,HSBC,1
#3656 904,13-Oct-20,Tuesday,20,MasterCard,CVC,£22,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,40.3,Barlcays,0
#2656 006,13-Oct-20,Tuesday,21,Visa,PIN,£325,POS,Electronics,Russia,Russia,Russia,F,33.5,Barclays,0
#3082 245,14-Oct-20,Wednesday,13,MasterCard,PIN,£121,POS,Fashion,United Kingdom,India,United Kingdom,M,54.8,Metro,0
#3542 059,14-Oct-20,Wednesday,17,Visa,PIN,£64,ATM,Electronics,United Kingdom,United Kingdom,United Kingdom,M,52.7,HSBC,0
#3363 537,14-Oct-20,Wednesday,9,Visa,Tap,£7,POS,Fashion,India,India,United Kingdom,F,47.8,Barlcays,1
#3373 866,13-Oct-20,Tuesday,20,Visa,Tap,£29,POS,Subscription,United Kingdom,United Kingdom,United Kingdom,M,53.6,RBS,0
#3139 209,13-Oct-20,Tuesday,13,MasterCard,PIN,£301,ATM,Entertainment,United Kingdom,India,United Kingdom,M,36.7,Metro,0
#3098 020,14-Oct-20,Wednesday,20,MasterCard,CVC,£11,Online,Children,China,China,United Kingdom,M,39.5,Barclays,1
#3455 763,13-Oct-20,Tuesday,3,Visa,Tap,£29,POS,Restaurant,India,India,United Kingdom,F,44.9,HSBC,1
#3601 919,14-Oct-20,Wednesday,10,MasterCard,PIN,£23,ATM,Products,United Kingdom,United Kingdom,United Kingdom,M,21.4,Halifax,0
#3155 917,14-Oct-20,Wednesday,10,MasterCard,Tap,£11,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,43.6,Barlcays,0
#3401 955,13-Oct-20,Tuesday,6,Visa,CVC,£10,Online,Electronics,USA,USA,United Kingdom,F,42.2,Halifax,1
#3339 966,13-Oct-20,Tuesday,12,Visa,PIN,£354,ATM,Entertainment,India,India,United Kingdom,M,40.1,Barlcays,0
#2607 059,13-Oct-20,Tuesday,1,MasterCard,CVC,£30,Online,Entertainment,United Kingdom,China,United Kingdom,M,48.8,Barclays,1
#3244 314,14-Oct-20,Wednesday,3,Visa,CVC,£19,Online,Gaming,China,China,United Kingdom,M,64.2,Barlcays,1
#3201 298,13-Oct-20,Tuesday,17,MasterCard,Tap,£14,POS,Gaming,India,India,United Kingdom,M,52.4,Halifax,1
#3254 138,14-Oct-20,Wednesday,0,Visa,PIN,£179,ATM,Food,USA,USA,United Kingdom,F,31.2,Metro,1
#3253 627,13-Oct-20,Tuesday,13,Visa,Tap,£30,POS,Electronics,China,China,United Kingdom,M,48.1,Monzo,1
#2741 573,13-Oct-20,Tuesday,12,MasterCard,CVC,£27,Online,Children,United Kingdom,Russia,United Kingdom,M,70.3,Lloyds,1
#3217 703,13-Oct-20,Tuesday,14,MasterCard,PIN,£357,POS,Fashion,China,China,China,F,47.6,Barclays,0
#3459 889,13-Oct-20,Tuesday,12,MasterCard,PIN,£279,POS,Children,China,China,United Kingdom,M,57.8,Barclays,1
#3427 221,13-Oct-20,Tuesday,15,Visa,PIN,£21,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,46.2,Monzo,0
#2649 720,14-Oct-20,Wednesday,23,MasterCard,PIN,£7,ATM,Subscription,India,India,United Kingdom,M,46.1,Metro,1
#3465 908,14-Oct-20,Wednesday,6,MasterCard,PIN,£19,ATM,Food,China,China,United Kingdom,M,38.6,Barclays,1
#3218 161,13-Oct-20,Tuesday,11,Visa,Tap,£9,POS,Food,United Kingdom,United Kingdom,United Kingdom,M,39.3,RBS,0
#3217 627,13-Oct-20,Tuesday,20,MasterCard,PIN,£16,ATM,Electronics,India,India,United Kingdom,F,37.2,Halifax,1
#3601 951,14-Oct-20,Wednesday,21,Visa,PIN,£351,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,44.4,Barlcays,0
#3379 972,14-Oct-20,Wednesday,19,Visa,CVC,£12,Online,Fashion,United Kingdom,China,United Kingdom,F,45.1,Barclays,1
#3039 256,14-Oct-20,Wednesday,16,MasterCard,CVC,£18,Online,Fashion,United Kingdom,United Kingdom,United Kingdom,M,46.7,Barlcays,0
#2960 660,14-Oct-20,Wednesday,13,MasterCard,Tap,£12,POS,Gaming,Russia,Russia,United Kingdom,M,41.1,Barclays,1
#2559 814,14-Oct-20,Wednesday,10,MasterCard,CVC,£12,Online,Services,China,China,United Kingdom,M,33.2,Barclays,1
#3225 324,13-Oct-20,Tuesday,23,Visa,PIN,£355,POS,Electronics,United Kingdom,United Kingdom,United Kingdom,M,37.7,Barlcays,0
#2594 956,14-Oct-20,Wednesday,19,Visa,CVC,£24,Online,Products,Russia,Russia,United Kingdom,M,42.5,RBS,1
#3394 801,14-Oct-20,Wednesday,23,Visa,CVC,£188,Online,Food,United Kingdom,United Kingdom,United Kingdom,F,32.8,RBS,0
#2998 734,13-Oct-20,Tuesday,15,Visa,PIN,£393,POS,Gaming,USA,USA,USA,F,61.5,Halifax,0
#3225 521,14-Oct-20,Wednesday,11,Visa,CVC,£341,Online,Products,Russia,Russia,United Kingdom,F,35.7,Halifax,0
#3518 357,14-Oct-20,Wednesday,12,Visa,PIN,£178,ATM,Gaming,United Kingdom,United Kingdom,United Kingdom,M,34.5,Barclays,0
#3298 165,14-Oct-20,Wednesday,10,Visa,PIN,£26,ATM,Fashion,United Kingdom,United Kingdom,United Kingdom,M,40.4,HSBC,0
#2992 145,13-Oct-20,Tuesday,12,MasterCard,Tap,£14,POS,Children,United Kingdom,United Kingdom,United Kingdom,M,34.1,Halifax,0
#3387 636,14-Oct-20,Wednesday,7,MasterCard,PIN,£145,POS,Fashion,United Kingdom,United Kingdom,United Kingdom,F,43.5,Barclays,0
#3670 573,13-Oct-20,Tuesday,9,Visa,CVC,£143,Online,Services,China,China,United Kingdom,M,32.6,Halifax,1
#3100 968,14-Oct-20,Wednesday,3,Visa,CVC,£333,Online,Children,United Kingdom,Russia,United Kingdom,F,35.5,Barclays,1
#3487 552,13-Oct-20,Tuesday,13,Visa,PIN,£66,POS,Electronics,United Kingdom,India,United Kingdom,F,34.5,RBS,0
#2921 946,14-Oct-20,Wednesday,10,MasterCard,PIN,£18,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,34.2,Barclays,0
#2937 469,14-Oct-20,Wednesday,22,Visa,PIN,£5,ATM,Children,USA,USA,United Kingdom,F,46.6,Barclays,1
#3026 197,13-Oct-20,Tuesday,4,Visa,PIN,£326,ATM,Food,India,India,United Kingdom,M,42.7,HSBC,1
#2570 636,14-Oct-20,Wednesday,10,Visa,CVC,£9,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,44.6,Monzo,0
#3060 050,14-Oct-20,Wednesday,8,Visa,PIN,£22,ATM,Subscription,Russia,Russia,United Kingdom,M,38.7,Barclays,1
#3679 288,14-Oct-20,Wednesday,16,Visa,Tap,£12,POS,Fashion,India,India,United Kingdom,M,31.5,Lloyds,1
#2928 787,14-Oct-20,Wednesday,19,Visa,Tap,£16,POS,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,39.3,HSBC,0
#3524 432,14-Oct-20,Wednesday,19,Visa,PIN,£25,ATM,Products,India,United Kingdom,India,M,25.6,Lloyds,0
#2635 002,13-Oct-20,Tuesday,18,MasterCard,PIN,£16,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,45.7,Barclays,0
#3190 987,14-Oct-20,Wednesday,1,Visa,PIN,£100,POS,Children,USA,USA,United Kingdom,M,47.1,Halifax,1
#3244 918,13-Oct-20,Tuesday,13,MasterCard,PIN,£202,ATM,Services,Russia,Russia,Russia,F,55.9,Barclays,0
#3602 039,14-Oct-20,Wednesday,2,Visa,Tap,£16,POS,Fashion,Russia,Russia,United Kingdom,M,57.2,Barclays,1
#3280 486,14-Oct-20,Wednesday,11,Visa,CVC,£122,Online,Entertainment,United Kingdom,United Kingdom,United Kingdom,F,47.6,Monzo,0
#2873 887,13-Oct-20,Tuesday,11,Visa,CVC,£384,Online,Gaming,India,India,United Kingdom,F,46.9,Metro,1
#2905 742,13-Oct-20,Tuesday,7,Visa,PIN,£12,ATM,Gaming,China,China,United Kingdom,F,44.2,Metro,1
#3603 979,14-Oct-20,Wednesday,5,Visa,PIN,£25,ATM,Subscription,Russia,Russia,United Kingdom,M,47.5,Barclays,1
#3258 917,13-Oct-20,Tuesday,14,MasterCard,PIN,£19,ATM,Restaurant,China,China,United Kingdom,F,50.4,Barclays,0
#3052 542,13-Oct-20,Tuesday,17,MasterCard,PIN,£361,POS,Subscription,USA,USA,USA,F,34.9,Halifax,0
#2903 571,13-Oct-20,Tuesday,13,Visa,Tap,£27,POS,Children,United Kingdom,China,United Kingdom,F,63.4,RBS,1
#2925 175,13-Oct-20,Tuesday,15,Visa,PIN,£181,POS,Products,United Kingdom,United Kingdom,United Kingdom,F,34.2,RBS,0
#3036 835,13-Oct-20,Tuesday,8,MasterCard,CVC,£19,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,56.0,HSBC,0
#3441 473,13-Oct-20,Tuesday,2,Visa,CVC,£27,Online,Fashion,United Kingdom,China,United Kingdom,M,40.7,Barclays,1
#3650 003,14-Oct-20,Wednesday,18,Visa,CVC,£15,Online,Products,United Kingdom,United Kingdom,United Kingdom,M,39.8,Lloyds,0
#3595 296,14-Oct-20,Wednesday,13,MasterCard,CVC,£315,Online,Restaurant,United Kingdom,United Kingdom,United Kingdom,F,43.0,Barclays,0
#2690 732,14-Oct-20,Wednesday,20,Visa,PIN,£125,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,49.8,Barlcays,0
#3524 188,13-Oct-20,Tuesday,1,Visa,CVC,£256,Online,Children,USA,USA,United Kingdom,F,52.7,Lloyds,1
#2896 495,13-Oct-20,Tuesday,19,Visa,CVC,£395,Online,Services,United Kingdom,United Kingdom,United Kingdom,F,38.0,RBS,0
#3605 035,14-Oct-20,Wednesday,15,Visa,PIN,£18,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,59.1,Barclays,0
#2555 390,14-Oct-20,Wednesday,10,MasterCard,Tap,£15,POS,Services,United Kingdom,United Kingdom,United Kingdom,F,47.9,Metro,0
#3155 738,14-Oct-20,Wednesday,3,Visa,PIN,£251,ATM,Subscription,India,India,United Kingdom,M,62.1,Monzo,1
#3667 721,14-Oct-20,Wednesday,7,Visa,Tap,£26,POS,Products,China,China,China,F,55.1,Lloyds,0
#3169 431,14-Oct-20,Wednesday,16,Visa,Tap,£21,POS,Services,India,India,United Kingdom,M,44.1,Barclays,1
